smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC1(CNC(=O)C#CB(O)O)CC1	2241475987	JIPXMSCGQMFIKZ-UHFFFAOYSA-N	181.000	-1.082	50	10	AAGE	
COC(=O)c1ncncc1B(O)O	2241492815	GBGLGHWGWNOEIR-UHFFFAOYSA-N	181.944	-2.057	50	10	AAGE	
C#CCNC(=O)C1CC(B(O)O)C1	2241494840	DWFBAUFQMAEENH-UHFFFAOYSA-N	181.000	-1.011	50	10	AAGE	
NNC(=O)C(=O)N1CCC[C@@H](O)C1	42472210	PJNJRFHNYYOVPM-RXMQYKEDSA-N	187.199	-2.040	50	10	AAGE	
O=CC1=C[C@H](O)[C@H](O)[C@H](O)C1	148533812	UZGBQMZZECVISB-XVMARJQXSA-N	158.153	-1.402	50	10	AAGE	
NCc1cccnc1B(O)O	196648339	YGXGJZHLIDYXHX-UHFFFAOYSA-N	151.962	-1.780	50	10	AAGE	
C[C@@H](CC(=O)NN)C(=O)NN	201840408	FHHKCFYYCSYEKX-VKHMYHEASA-N	160.177	-2.008	50	10	AAGE	
CC(C)[C@@H](NC(=O)[C@H](C)N)B(O)O	210167116	CYSODVAPDPNLDY-NTSWFWBYSA-N	188.036	-1.514	50	10	AAGE	
NNc1ccc(C(=O)O)c(B(O)O)c1	307292050	BYFRQKSEUGYUIT-UHFFFAOYSA-N	195.971	-1.650	50	10	AAGE	
NNC(=O)C(=O)N1[C@H]2CC[C@H]1COC2	695050605	VSTWVGAEVRATPL-WDSKDSINSA-N	199.210	-1.634	50	10	AAGE	
C[C@H](C(=O)NN)N1C[C@@H]2COC[C@@H]21	1882699113	RGCHARAPLCAFDS-QYNIQEEDSA-N	185.227	-1.305	50	10	AAGE	
CN1CC[C@H](NC(=O)NN)CC1=O	1882878138	ZWXPVXSBPRNDEA-YFKPBYRVSA-N	186.215	-1.220	50	10	AAGE	
CO[C@@H](C)C(=O)NCC#CB(O)O	1883751502	XOTKZWMDBXOSPU-LURJTMIESA-N	184.988	-1.847	50	10	AAGE	
C[C@@H](C(=O)NN)N1CC[C@@H](O)[C@H]1C	1914256860	QTIYPDGGRSXPFC-DSYKOEDSSA-N	187.243	-1.180	50	10	AAGE	
NNC(=O)N1CC(=O)N[C@H]2CC[C@@H]21	1953947980	ZKEQGGVIRXVUOG-WHFBIAKZSA-N	184.199	-1.468	50	10	AAGE	
O=C(C#CB(O)O)N[C@@H]1C[C@@H]1C1CC1	2241468796	VDISIOKDQVYSNS-HTQZYQBOSA-N	193.011	-1.084	50	10	AAGE	
CO[C@H]1C[C@@H]1NC(=O)C#CB(O)O	2241471395	JBQZVJKXROOFAI-WDSKDSINSA-N	182.972	-2.095	50	10	AAGE	
C[C@@H](NC#N)c1nscc1B(O)O	2241561597	AFTGZXNSKGZRFO-SCSAIBSYSA-N	197.028	-1.045	50	10	AAGE	
C[C@H](O)CN(C)C(=O)C(=O)NN	51843040	KMUAYYIJJMWSSW-BYPYZUCNSA-N	175.188	-2.185	50	10	AAGE	
NNC(=O)CCC(=O)NCCO	58849989	LQUWYAVYXBSBEP-UHFFFAOYSA-N	175.188	-2.135	50	10	AAGE	
C[C@@H](O)[C@H](N)C(=O)NN	83291773	BTWRWICPPHEZFU-GBXIJSLDSA-N	133.151	-2.316	50	10	AAGE	
O=c1cc(B(O)O)cc([N+](=O)[O-])[nH]1	206086330	DXXLGEUHBUQZFI-UHFFFAOYSA-N	183.916	-2.037	50	10	AAGE	
O=CNNc1ccc(B(O)O)cc1F	208611971	VFYRUMAHNWGYTC-UHFFFAOYSA-N	197.962	-1.422	50	10	AAGE	
CN1C[C@H](C(=O)NN)CCC1=O	238320898	ZBHBWDWXRZIBTK-RXMQYKEDSA-N	171.200	-1.155	50	10	AAGE	
Cc1nc(B(O)O)ccc1C(=O)O	238478116	NOWZSHRSJBNIJK-UHFFFAOYSA-N	180.956	-1.232	50	10	AAGE	
Cc1ccc(O)nc1B(O)O	306865610	NBNGLOMUPCCXFN-UHFFFAOYSA-N	152.946	-1.225	50	10	AAGE	
C=CCNNC(=O)[C@H]1COCCN1	308753202	VJVKUTUUTFGAFP-SSDOTTSWSA-N	185.227	-1.218	50	10	AAGE	
NC(=O)C(=O)NN=Cc1csnn1	379369338	DOWHRWFYLCAENB-UHFFFAOYSA-N	199.195	-1.527	50	10	AAGE	
CO[C@@H](C)C=NNC(=O)C(N)=O	393921084	TYRJOQUHNUHIHL-BYPYZUCNSA-N	173.172	-1.391	50	10	AAGE	
O=C(Cc1cc[nH]n1)NCB(O)O	702018162	QSBVMKMOCNVYIO-UHFFFAOYSA-N	182.976	-1.920	50	10	AAGE	
NNC(=O)c1cnn2c1NCC2	953077513	ZPRSWHWFTZXEGS-UHFFFAOYSA-N	167.172	-1.088	50	10	AAGE	
N[C@]1(B(O)O)C[C@@H]2[C@@H]1[C@H]1CC[C@H]2O1	1882907490	PUZCYZJYPXHRLB-SLBCVNJHSA-N	183.016	-1.107	50	10	AAGE	
CCc1nc(=NC(=O)NN)n(C)[nH]1	1884167739	IULTWLGZXMTRMZ-UHFFFAOYSA-N	184.203	-1.205	50	10	AAGE	
NNC(=O)CCN1CCC1=O	1928992847	VPMZKLPAVQKGIZ-UHFFFAOYSA-N	157.173	-1.401	50	10	AAGE	
O=C(NNCCO)c1nc[nH]n1	1929831019	VANFHFQLWKNDCN-UHFFFAOYSA-N	171.160	-1.969	50	10	AAGE	
